period,respondent,fueltype,value
2021-01-23T03,ERCO,WND,4142
2021-01-23T04,ERCO,WND,4076
2021-01-23T05,ERCO,WND,4183
2021-01-23T06,ERCO,WND,3901
2021-01-23T07,ERCO,WND,3653
2021-01-23T08,ERCO,WND,3649
2021-01-23T09,ERCO,WND,3705
2021-01-23T10,ERCO,WND,3754
2021-01-23T11,ERCO,WND,3818
2021-01-23T12,ERCO,WND,4241
2021-01-23T13,ERCO,WND,4780
2021-01-23T14,ERCO,WND,4921
2021-01-23T15,ERCO,WND,4997
2021-01-23T16,ERCO,WND,5558
2021-01-23T17,ERCO,WND,5829
2021-01-23T18,ERCO,WND,6264
2021-01-23T19,ERCO,WND,6570
2021-01-23T20,ERCO,WND,6995
2021-01-23T21,ERCO,WND,7357
2021-01-23T22,ERCO,WND,7314
2021-01-23T23,ERCO,WND,7316
2021-01-24T00,ERCO,WND,7780
2021-01-24T01,ERCO,WND,9279
2021-01-24T02,ERCO,WND,10871
2021-01-24T03,ERCO,WND,12568
2021-01-24T04,ERCO,WND,13701
2021-01-24T05,ERCO,WND,13985
2021-01-24T06,ERCO,WND,14303
2021-01-24T07,ERCO,WND,13843
2021-01-24T08,ERCO,WND,12774
2021-01-24T09,ERCO,WND,12044
2021-01-24T10,ERCO,WND,11383
2021-01-24T11,ERCO,WND,10509
2021-01-24T12,ERCO,WND,10150
2021-01-24T13,ERCO,WND,9613
2021-01-24T14,ERCO,WND,8453
2021-01-24T15,ERCO,WND,7649
2021-01-24T16,ERCO,WND,7316
2021-01-24T17,ERCO,WND,7997
2021-01-24T18,ERCO,WND,9496
2021-01-24T19,ERCO,WND,10252
2021-01-24T20,ERCO,WND,10360
2021-01-24T21,ERCO,WND,10541
2021-01-24T22,ERCO,WND,11304
2021-01-24T23,ERCO,WND,11933
2021-01-25T00,ERCO,WND,12185
2021-01-25T01,ERCO,WND,13898
2021-01-25T02,ERCO,WND,15024
2021-01-25T03,ERCO,WND,15040
2021-01-25T04,ERCO,WND,13578
2021-01-25T05,ERCO,WND,13152
2021-01-25T06,ERCO,WND,13740
2021-01-25T07,ERCO,WND,15774
2021-01-25T08,ERCO,WND,16040
2021-01-25T09,ERCO,WND,14738
2021-01-25T10,ERCO,WND,15276
2021-01-25T11,ERCO,WND,15951
2021-01-25T12,ERCO,WND,17066
2021-01-25T13,ERCO,WND,17616
2021-01-25T14,ERCO,WND,17744
2021-01-25T15,ERCO,WND,16782
2021-01-25T16,ERCO,WND,15873
2021-01-25T17,ERCO,WND,16359
2021-01-25T18,ERCO,WND,17088
2021-01-25T19,ERCO,WND,16847
2021-01-25T20,ERCO,WND,16384
2021-01-25T21,ERCO,WND,16443
2021-01-25T22,ERCO,WND,16460
2021-01-25T23,ERCO,WND,17313
2021-01-26T00,ERCO,WND,15991
2021-01-26T01,ERCO,WND,13591
2021-01-26T02,ERCO,WND,13273
2021-01-26T03,ERCO,WND,12671
2021-01-26T04,ERCO,WND,11918
2021-01-26T05,ERCO,WND,10360
2021-01-26T06,ERCO,WND,8453
2021-01-26T07,ERCO,WND,7877
2021-01-26T08,ERCO,WND,8364
2021-01-26T09,ERCO,WND,9639
2021-01-26T10,ERCO,WND,10008
2021-01-26T11,ERCO,WND,8872
2021-01-26T12,ERCO,WND,8414
2021-01-26T13,ERCO,WND,9279
2021-01-26T14,ERCO,WND,9595
2021-01-26T15,ERCO,WND,7815
2021-01-26T16,ERCO,WND,5888
2021-01-26T17,ERCO,WND,5025
2021-01-26T18,ERCO,WND,3907
2021-01-26T19,ERCO,WND,3120
2021-01-26T20,ERCO,WND,2615
2021-01-26T21,ERCO,WND,2277
2021-01-26T22,ERCO,WND,2487
2021-01-26T23,ERCO,WND,4242
2021-01-27T00,ERCO,WND,7235
2021-01-27T01,ERCO,WND,9456
2021-01-27T02,ERCO,WND,10794
2021-01-27T03,ERCO,WND,8802
2021-01-27T04,ERCO,WND,7078
2021-01-27T05,ERCO,WND,5877
2021-01-27T06,ERCO,WND,5647
2021-01-27T07,ERCO,WND,6104
2021-01-27T08,ERCO,WND,6692
2021-01-27T09,ERCO,WND,8095
2021-01-27T10,ERCO,WND,11591
2021-01-27T11,ERCO,WND,14643
2021-01-27T12,ERCO,WND,15580
2021-01-27T13,ERCO,WND,16066
2021-01-27T14,ERCO,WND,16361
2021-01-27T15,ERCO,WND,14927
2021-01-27T16,ERCO,WND,13744
2021-01-27T17,ERCO,WND,14179
2021-01-27T18,ERCO,WND,13226
2021-01-27T19,ERCO,WND,10867
2021-01-27T20,ERCO,WND,8387
2021-01-27T21,ERCO,WND,6828
2021-01-27T22,ERCO,WND,5618
2021-01-27T23,ERCO,WND,4923
2021-01-28T00,ERCO,WND,4454
2021-01-28T01,ERCO,WND,4606
2021-01-28T02,ERCO,WND,6680
2021-01-28T03,ERCO,WND,8557
2021-01-28T04,ERCO,WND,9185
2021-01-28T05,ERCO,WND,9460
2021-01-28T06,ERCO,WND,10346
2021-01-28T07,ERCO,WND,11112
2021-01-28T08,ERCO,WND,11902
2021-01-28T09,ERCO,WND,12420
2021-01-28T10,ERCO,WND,12446
2021-01-28T11,ERCO,WND,12040
2021-01-28T12,ERCO,WND,12010
2021-01-28T13,ERCO,WND,12248
2021-01-28T14,ERCO,WND,12023
2021-01-28T15,ERCO,WND,10673
2021-01-28T16,ERCO,WND,8427
2021-01-28T17,ERCO,WND,7142
2021-01-28T18,ERCO,WND,6747
2021-01-28T19,ERCO,WND,6745
2021-01-28T20,ERCO,WND,6937
2021-01-28T21,ERCO,WND,8397
2021-01-28T22,ERCO,WND,9576
2021-01-28T23,ERCO,WND,9939
2021-01-29T00,ERCO,WND,10185
2021-01-29T01,ERCO,WND,11123
2021-01-29T02,ERCO,WND,12810
2021-01-29T03,ERCO,WND,14043
2021-01-29T04,ERCO,WND,14807
2021-01-29T05,ERCO,WND,15732
2021-01-29T06,ERCO,WND,16072
2021-01-29T07,ERCO,WND,16485
2021-01-29T08,ERCO,WND,17014
