period,respondent,fueltype,value
2021-01-18T02,ERCO,SUN,0
2021-01-18T03,ERCO,SUN,0
2021-01-18T04,ERCO,SUN,0
2021-01-18T05,ERCO,SUN,0
2021-01-18T06,ERCO,SUN,0
2021-01-18T07,ERCO,SUN,0
2021-01-18T08,ERCO,SUN,0
2021-01-18T09,ERCO,SUN,0
2021-01-18T10,ERCO,SUN,0
2021-01-18T11,ERCO,SUN,0
2021-01-18T12,ERCO,SUN,0
2021-01-18T13,ERCO,SUN,0
2021-01-18T14,ERCO,SUN,15
2021-01-18T15,ERCO,SUN,1040
2021-01-18T16,ERCO,SUN,2951
2021-01-18T17,ERCO,SUN,3772
2021-01-18T18,ERCO,SUN,3811
2021-01-18T19,ERCO,SUN,3748
2021-01-18T20,ERCO,SUN,3811
2021-01-18T21,ERCO,SUN,3977
2021-01-18T22,ERCO,SUN,4041
2021-01-18T23,ERCO,SUN,3446
2021-01-19T00,ERCO,SUN,976
2021-01-19T01,ERCO,SUN,4
2021-01-19T02,ERCO,SUN,0
2021-01-19T03,ERCO,SUN,0
2021-01-19T04,ERCO,SUN,0
2021-01-19T05,ERCO,SUN,0
2021-01-19T06,ERCO,SUN,0
2021-01-19T07,ERCO,SUN,0
2021-01-19T08,ERCO,SUN,0
2021-01-19T09,ERCO,SUN,0
2021-01-19T10,ERCO,SUN,0
2021-01-19T11,ERCO,SUN,0
2021-01-19T12,ERCO,SUN,0
2021-01-19T13,ERCO,SUN,0
2021-01-19T14,ERCO,SUN,3
2021-01-19T15,ERCO,SUN,228
2021-01-19T16,ERCO,SUN,796
2021-01-19T17,ERCO,SUN,929
2021-01-19T18,ERCO,SUN,1023
2021-01-19T19,ERCO,SUN,1066
2021-01-19T20,ERCO,SUN,1181
2021-01-19T21,ERCO,SUN,812
2021-01-19T22,ERCO,SUN,852
2021-01-19T23,ERCO,SUN,358
2021-01-20T00,ERCO,SUN,75
2021-01-20T01,ERCO,SUN,0
2021-01-20T02,ERCO,SUN,0
2021-01-20T03,ERCO,SUN,0
2021-01-20T04,ERCO,SUN,0
2021-01-20T05,ERCO,SUN,0
2021-01-20T06,ERCO,SUN,0
2021-01-20T07,ERCO,SUN,0
2021-01-20T08,ERCO,SUN,0
2021-01-20T09,ERCO,SUN,0
2021-01-20T10,ERCO,SUN,0
2021-01-20T11,ERCO,SUN,0
2021-01-20T12,ERCO,SUN,0
2021-01-20T13,ERCO,SUN,0
2021-01-20T14,ERCO,SUN,1
2021-01-20T15,ERCO,SUN,111
2021-01-20T16,ERCO,SUN,333
2021-01-20T17,ERCO,SUN,585
2021-01-20T18,ERCO,SUN,1175
2021-01-20T19,ERCO,SUN,1469
2021-01-20T20,ERCO,SUN,1664
2021-01-20T21,ERCO,SUN,1448
2021-01-20T22,ERCO,SUN,897
2021-01-20T23,ERCO,SUN,611
2021-01-21T00,ERCO,SUN,215
2021-01-21T01,ERCO,SUN,3
2021-01-21T02,ERCO,SUN,1
2021-01-21T03,ERCO,SUN,1
2021-01-21T04,ERCO,SUN,1
2021-01-21T05,ERCO,SUN,1
2021-01-21T06,ERCO,SUN,1
2021-01-21T07,ERCO,SUN,1
2021-01-21T08,ERCO,SUN,1
2021-01-21T09,ERCO,SUN,1
2021-01-21T10,ERCO,SUN,2
2021-01-21T11,ERCO,SUN,1
2021-01-21T12,ERCO,SUN,1
2021-01-21T13,ERCO,SUN,1
2021-01-21T14,ERCO,SUN,2
2021-01-21T15,ERCO,SUN,84
2021-01-21T16,ERCO,SUN,332
2021-01-21T17,ERCO,SUN,600
2021-01-21T18,ERCO,SUN,938
2021-01-21T19,ERCO,SUN,1215
2021-01-21T20,ERCO,SUN,1352
2021-01-21T21,ERCO,SUN,1722
2021-01-21T22,ERCO,SUN,2328
2021-01-21T23,ERCO,SUN,1813
2021-01-22T00,ERCO,SUN,297
2021-01-22T01,ERCO,SUN,1
2021-01-22T02,ERCO,SUN,0
2021-01-22T03,ERCO,SUN,0
2021-01-22T04,ERCO,SUN,0
2021-01-22T05,ERCO,SUN,0
2021-01-22T06,ERCO,SUN,0
2021-01-22T07,ERCO,SUN,0
2021-01-22T08,ERCO,SUN,0
2021-01-22T09,ERCO,SUN,0
2021-01-22T10,ERCO,SUN,0
2021-01-22T11,ERCO,SUN,0
2021-01-22T12,ERCO,SUN,0
2021-01-22T13,ERCO,SUN,0
2021-01-22T14,ERCO,SUN,4
2021-01-22T15,ERCO,SUN,1015
